
0,1a,323.398,
1,1b,742.745,
2,1c,299.834,
3,1d,1693.420,
4,2a,662.551,
5,2b,647.865,
6,2c,621.592,
7,2d,1007.321,
8,3a,154.126,
9,3b,434.411,
10,3c,315.656,
11,4a,113.850,
12,4b,87.360,
13,4c,123.378,
14,5a,276.808,
15,5b,276.747,
16,5c,1368.905,
17,6a,20.747,
18,6b,204.892,
19,6c,13.369,
20,6d,8961.875,
21,6e,18.635,
22,6f,9950.444,
23,7a,1339.037,
24,7b,184.752,
25,7c,3143.575,
26,8a,4217.163,
27,8b,606.214,
28,8c,10112.214,
29,8d,6056.653,
30,9a,4169.431,
31,9b,3537.526,
32,9c,4312.127,
33,9d,12113.375,
34,10a,1051.530,
35,10b,134.258,
36,10c,10747.192,
37,11a,48.903,
38,11b,41.057,
39,11c,244.988,
40,11d,300.940,
41,12a,820.998,
42,12b,596.540,
43,12c,2537.104,
44,13a,1812.713,
45,13b,306.310,
46,13c,225.230,
47,13d,6074.181,
48,14a,355.967,
49,14b,110.855,
50,14c,941.233,
51,15a,969.033,
52,15b,44.979,
53,15c,800.586,
54,15d,794.947,
55,16a,220.765,
56,16b,33209.572,
57,16c,3050.851,
58,16d,2450.017,
59,17a,18700.108,
60,17b,12200.129,
61,17c,11681.427,
62,17d,11934.944,
63,17e,20268.751,
64,17f,17666.948,
65,18a,8019.565,
66,18b,507.474,
67,18c,12721.036,
68,19a,12851.694,
69,19b,479.141,
70,19c,4090.786,
71,19d,18202.635,
72,20a,4264.282,
73,20b,2708.221,
74,20c,1544.916,
75,21a,77.711,
76,21b,48.231,
77,21c,77.560,
78,22a,596.182,
79,22b,250.471,
80,22c,3676.352,
81,22d,1424.554,
82,23a,452.199,
83,23b,41.166,
84,23c,1146.227,
85,24a,356.782,
86,24b,43.549,
87,25a,5781.447,
88,25b,320.118,
89,25c,15712.897,
90,26a,618.217,
91,26b,103.912,
92,26c,1701.750,
93,27a,48.589,
94,27b,60.491,
95,27c,63.565,
96,28a,1422.399,
97,28b,527.397,
98,28c,1406.282,
99,29a,70.908,
100,29b,49.307,
101,29c,73.727,
102,30a,1597.302,
103,30b,434.794,
104,30c,5460.009,
105,31a,572.917,
106,31b,749.490,
107,31c,602.921,
108,32a,14.836,
109,32b,376.493,
110,33a,250.383,
111,33b,61.016,
112,33c,12.807,
