
0,1a,8.451,
1,1b,0.263,
2,1c,5.523,
3,1d,0.276,
4,2a,686.390,
5,2b,693.409,
6,2c,641.139,
7,2d,1123.272,
8,3a,165.629,
9,3b,97.487,
10,3c,347.374,
11,4a,120.706,
12,4b,91.193,
13,4c,138.033,
14,5a,281.248,
15,5b,282.656,
16,5c,318.595,
17,6a,22.084,
18,6b,226.236,
19,6c,13.405,
20,6d,10300.860,
21,6e,18.891,
22,6f,11291.988,
23,7a,1334.516,
24,7b,195.078,
25,7c,5637.033,
26,8a,4559.053,
27,8b,596.335,
28,8c,10380.666,
29,8d,6113.902,
30,9a,1444.184,
31,9b,2829.418,
32,9c,3055.720,
33,9d,8481.504,
34,10a,757.331,
35,10b,136.272,
36,10c,11067.852,
37,11a,93.336,
38,11b,39.621,
39,11c,340.245,
40,11d,223.189,
41,12a,591.346,
42,12b,0.484,
43,12c,2568.154,
44,13a,4919.393,
45,13b,1632.933,
46,13c,1565.383,
47,13d,8271.040,
48,14a,385.278,
49,14b,122.809,
50,14c,1024.803,
51,15a,982.639,
52,15b,42.119,
53,15c,945.262,
54,15d,1300.667,
55,16a,195.806,
56,16b,34622.231,
57,16c,3026.281,
58,16d,2432.554,
59,17a,20004.146,
60,17b,14592.232,
61,17c,13513.650,
62,17d,13729.206,
63,17e,21599.342,
64,17f,19535.580,
65,18a,16728.140,
66,18b,547.850,
67,18c,18662.536,
68,19a,12581.520,
69,19b,491.969,
70,19c,3182.941,
71,19d,24938.445,
72,20a,4903.416,
73,20b,3645.283,
74,20c,2141.463,
75,21a,104.260,
76,21b,93.347,
77,21c,107.132,
78,22a,631.249,
79,22b,284.798,
80,22c,3125.268,
81,22d,1570.466,
82,23a,448.644,
83,23b,65.808,
84,23c,624.634,
85,24a,190.281,
86,24b,45.967,
87,25a,6215.574,
88,25b,343.771,
89,25c,16059.751,
90,26a,2361.466,
91,26b,191.651,
92,26c,2246.033,
93,27a,36.231,
94,27b,18.593,
95,27c,52.308,
96,28a,992.944,
97,28b,719.007,
98,28c,1167.304,
99,29a,211.765,
100,29b,19.229,
101,29c,188.945,
102,30a,1847.991,
103,30b,478.826,
104,30c,5587.949,
105,31a,4549.986,
106,31b,650.446,
107,31c,4179.229,
108,32a,28.955,
109,32b,162.460,
110,33a,74.808,
111,33b,62.124,
112,33c,130.234,
