
0,1a,8.760,7.725,7.725,
1,1b,0.295,0.263,0.252,
2,1c,5.458,1.484,5.477,
3,1d,0.274,0.282,0.270,
4,2a,322.880,327.480,325.479,
5,2b,308.446,312.679,311.136,
6,2c,287.825,279.853,279.728,
7,2d,664.121,728.388,723.686,
8,3a,151.359,147.118,146.937,
9,3b,91.443,90.663,89.688,
10,3c,326.379,678.940,685.354,
11,4a,111.526,110.136,110.976,
12,4b,82.300,82.898,82.789,
13,4c,127.103,124.704,124.769,
14,5a,281.122,281.853,281.205,
15,5b,283.366,281.901,282.467,
16,5c,1415.157,1401.618,1397.184,
17,6a,19.247,16.703,16.680,
18,6b,241.734,199.857,200.032,
19,6c,11.898,11.898,12.062,
20,6d,10820.268,4719.609,4679.140,
21,6e,19.764,17.250,17.140,
22,6f,11654.552,6909.386,6916.004,
23,7a,1367.800,246.899,109.237,
24,7b,227.442,200.933,209.124,
25,7c,5738.268,5712.812,6563.375,
26,8a,4671.358,4891.172,4616.002,
27,8b,593.750,593.109,592.074,
28,8c,10534.438,10314.030,10373.909,
29,8d,4748.422,4542.516,4482.352,
30,9a,1012.871,1033.566,1019.305,
31,9b,985.037,989.359,995.025,
32,9c,1617.373,1588.502,1559.816,
33,9d,7327.490,7355.380,7214.948,
34,10a,785.919,777.323,781.727,
35,10b,146.867,148.501,145.550,
36,10c,7534.242,7349.495,7517.214,
37,11a,36.036,32.917,32.240,
38,11b,28.252,28.743,27.458,
39,11c,264.731,196.228,209.616,
40,11d,285.079,216.479,288.093,
41,12a,657.810,480.173,509.152,
42,12b,9.429,9.449,9.475,
43,12c,3190.211,3650.445,2704.820,
44,13a,1961.629,2036.675,2039.261,
45,13b,343.724,359.863,350.531,
46,13c,255.355,254.716,257.046,
47,13d,7509.641,15522.947,6610.324,
48,14a,399.306,300.599,302.766,
49,14b,119.685,120.604,121.000,
50,14c,1265.538,1104.225,1298.399,
51,15a,949.828,1189.306,946.954,
52,15b,43.880,44.201,43.711,
53,15c,887.397,827.125,830.755,
54,15d,855.512,1037.836,1033.767,
55,16a,307.460,200.875,204.225,
56,16b,29384.954,31104.064,40141.428,
57,16c,3205.466,3071.787,3991.335,
58,16d,2688.020,2442.903,3120.062,
59,17a,18826.510,18981.492,19073.333,
60,17b,38386.843,38056.245,5938.620,
61,17c,37809.126,37999.653,5562.555,
62,17d,38299.307,38415.719,5834.855,
63,17e,20121.472,20470.225,26399.427,
64,17f,40765.779,43160.436,13307.242,
65,18a,10024.474,10112.194,10180.564,
66,18b,587.734,615.670,598.933,
67,18c,14465.932,14499.274,14487.797,
68,19a,1007.332,1008.157,1010.024,
69,19b,481.992,480.094,482.735,
70,19c,3365.700,3414.315,3419.759,
71,19d,24396.137,16650.393,16687.133,
72,20a,20597.652,39220.297,39078.926,
73,20b,4013.916,38199.757,39257.913,
74,20c,3909.196,45924.932,45723.075,
75,21a,48.060,47.665,46.657,
76,21b,40.836,32.105,32.045,
77,21c,47.867,47.063,42.180,
78,22a,628.930,520.629,668.191,
79,22b,314.190,278.880,278.768,
80,22c,3388.722,3100.609,3422.817,
81,22d,6135.339,5932.168,1847.045,
82,23a,52924.846,1538.808,1570.623,
83,23b,52865.332,1515.619,1526.883,
84,23c,730.632,1531.517,1519.174,
85,24a,602.314,2262.267,255.869,
86,24b,42.754,44.510,43.341,
87,25a,3966.910,3992.098,3954.321,
88,25b,699.532,586.480,605.630,
89,25c,17725.827,18240.443,18243.831,
90,26a,4298.006,4313.425,4312.934,
91,26b,904.205,1039.187,1032.185,
92,26c,20332.415,4294.072,4283.306,
93,27a,236.985,37.820,74.093,
94,27b,154.266,14.221,34.284,
95,27c,435.524,23.448,55.023,
96,28a,969.147,647.073,269.191,
97,28b,609.844,598.834,500.281,
98,28c,2321.831,8749.011,199274.578,
99,29a,181.694,181.407,183.224,
100,29b,130.570,131.867,122.231,
101,29c,959.416,6493.548,6507.487,
102,30a,1388.240,2464.943,6346.113,
103,30b,4685.203,358.267,26323.684,
104,30c,6672.139,6556.060,15176.777,
105,31a,579.537,561.630,561.341,
106,31b,242.690,243.479,242.168,
107,31c,612.783,614.270,599.859,
108,32a,12.558,12.146,12.100,
109,32b,119.902,117.354,147.579,
110,33a,74.392,38.220,74.926,
111,33b,59.816,59.791,61.259,
112,33c,254.227,255.248,254.844,
