
0,1a,207.400,
1,1b,494.137,
2,1c,192.997,
3,1d,931.581,
4,2a,422.118,
5,2b,417.022,
6,2c,424.889,
7,2d,548.021,
8,3a,104.230,
9,3b,196.954,
10,3c,207.988,
11,4a,72.122,
12,4b,57.530,
13,4c,79.413,
14,5a,191.763,
15,5b,198.743,
16,5c,988.126,
17,6a,14.798,
18,6b,133.040,
19,6c,9.317,
20,6d,3070.477,
21,6e,12.869,
22,6f,3169.252,
23,7a,616.216,
24,7b,128.374,
25,7c,1536.002,
26,8a,1498.176,
27,8b,360.196,
28,8c,6997.211,
29,8d,4234.072,
30,9a,2458.669,
31,9b,2161.490,
32,9c,2571.283,
33,9d,6985.877,
34,10a,387.421,
35,10b,108.964,
36,10c,7422.199,
37,11a,32.623,
38,11b,30.163,
39,11c,156.703,
40,11d,194.380,
41,12a,428.410,
42,12b,364.013,
43,12c,1220.158,
44,13a,957.899,
45,13b,203.349,
46,13c,143.677,
47,13d,3533.212,
48,14a,196.771,
49,14b,79.793,
50,14c,412.733,
51,15a,648.930,
52,15b,30.323,
53,15c,484.547,
54,15d,514.818,
55,16a,132.708,
56,16b,18782.843,
57,16c,1625.054,
58,16d,1288.029,
59,17a,9562.377,
60,17b,4546.670,
61,17c,4267.660,
62,17d,4363.325,
63,17e,9988.058,
64,17f,7654.769,
65,18a,2476.946,
66,18b,217.230,
67,18c,4200.044,
68,19a,6097.685,
69,19b,298.564,
70,19c,2497.574,
71,19d,11132.857,
72,20a,1609.504,
73,20b,1111.011,
74,20c,577.521,
75,21a,50.269,
76,21b,33.336,
77,21c,50.051,
78,22a,327.879,
79,22b,179.136,
80,22c,1987.549,
81,22d,653.387,
82,23a,322.016,
83,23b,26.630,
84,23c,730.056,
85,24a,544.565,
86,24b,29.331,
87,25a,1997.857,
88,25b,232.561,
89,25c,5442.531,
90,26a,272.041,
91,26b,71.613,
92,26c,643.917,
93,27a,37.293,
94,27b,33.230,
95,27c,38.025,
96,28a,695.449,
97,28b,1231.597,
98,28c,897.373,
99,29a,135.193,
100,29b,21.809,
101,29c,59.799,
102,30a,727.948,
103,30b,303.149,
104,30c,1952.531,
105,31a,347.517,
106,31b,437.381,
107,31c,397.600,
108,32a,10.424,
109,32b,183.507,
110,33a,178.528,
111,33b,40.239,
112,33c,155.279,
