
0,1a,7.804,
1,1b,0.265,
2,1c,1.200,
3,1d,0.293,
4,2a,316.832,
5,2b,301.781,
6,2c,33.211,
7,2d,502.433,
8,3a,143.048,
9,3b,88.084,
10,3c,290.568,
11,4a,87.399,
12,4b,190.472,
13,4c,115.023,
14,5a,275.626,
15,5b,274.787,
16,5c,310.725,
17,6a,17.578,
18,6b,198.507,
19,6c,12.952,
20,6d,815.320,
21,6e,17.566,
22,6f,4511.359,
23,7a,88.775,
24,7b,179.841,
25,7c,3706.697,
26,8a,1076.949,
27,8b,414.012,
28,8c,9812.122,
29,8d,4661.174,
30,9a,1302.893,
31,9b,1286.705,
32,9c,2833.814,
33,9d,8522.304,
34,10a,302.605,
35,10b,139.802,
36,10c,7674.307,
37,11a,30.838,
38,11b,26.525,
39,11c,165.715,
40,11d,173.736,
41,12a,493.039,
42,12b,0.436,
43,12c,2280.395,
44,13a,1653.062,
45,13b,320.426,
46,13c,237.783,
47,13d,4395.746,
48,14a,306.120,
49,14b,124.200,
50,14c,640.806,
51,15a,993.818,
52,15b,42.853,
53,15c,819.522,
54,15d,963.207,
55,16a,195.920,
56,16b,9930.076,
57,16c,1852.417,
58,16d,1531.578,
59,17a,3760.326,
60,17b,2587.571,
61,17c,2440.314,
62,17d,2656.275,
63,17e,7556.483,
64,17f,4883.234,
65,18a,7109.581,
66,18b,351.998,
67,18c,8632.219,
68,19a,2715.871,
69,19b,417.563,
70,19c,2976.597,
71,19d,9391.999,
72,20a,2300.910,
73,20b,847.273,
74,20c,859.800,
75,21a,35.889,
76,21b,28.383,
77,21c,39.274,
78,22a,385.771,
79,22b,269.995,
80,22c,795.091,
81,22d,844.419,
82,23a,227.563,
83,23b,39.738,
84,23c,431.669,
85,24a,147.010,
86,24b,41.343,
87,25a,1138.007,
88,25b,314.583,
89,25c,8490.826,
90,26a,367.591,
91,26b,103.298,
92,26c,816.411,
93,27a,21.513,
94,27b,12.636,
95,27c,29.818,
96,28a,375.489,
97,28b,187.849,
98,28c,659.578,
99,29a,135.389,
100,29b,53.479,
101,29c,123.358,
102,30a,715.474,
103,30b,391.080,
104,30c,2371.408,
105,31a,243.516,
106,31b,49.930,
107,31c,341.470,
108,32a,13.525,
109,32b,231.827,
110,33a,62.837,
111,33b,23.237,
112,33c,104.103,
